first_wak,second_wak,third_wak,fourth_wak,fifth_wak,sixth_wak,seventh_wak,eighth_wak
เก้าคํ่ายํ่ารุ่งร้น,เรืองแสง,พลแห่พัตราแลง,เถือกถ้า,ฆ้องคึกบันดาลแสยง,เสียงปี่,หน้าพี่ตรวจถ้วนหน้า,ขาดหน้านางเดียว
มาเห็นเกาะพระแล้ว,ลาลด,เสี่ยงซึ่งความรันทด,ทอดไม้,เห็นไม้ไม่ปรากฏ,คืนแม่ มานา,โรคบ่เบียนน้องไข้,พี่ไข้ใจถึง
มาถึงเจ้าปลุกปลํ้า,ใจนัก,ด้วยบวรองค์อัค,เรศสร้าง,เจ้าปลุกยิ่งปลุกรัก,เรียมจาก,จากแม่เปล่าอ้างว้าง,วุ่นว้างอารมณ์
สุริยนลี้เลื่อนใกล้,อัษฎางค์,พอพี่ถับถึงบาง,โขมดเข้า,แซ่เสียงนิกรนาง,นาริศ,เรียมคำนึงถึงเจ้า,จากเจ้าจำไกล
มาถึงประเทศไท้,บางไทร,ทางทุรัศสถานใจ,สุดซั้น,สมรเดียวยิ่งมาไคล,คลาจาก กงนา,กงดั่งกงจักรกั้น,กีดกั้นกันสมร
นพบุรีบุเรศเจ้า,กรุงอยุทธ ยาแฮ,นารายน์พิษณุภุช,สืบสร้าง,เรียมรํ่าก็รํ่าสุด,แรงพี่ แล้วแฮ,เมืองก็ร้างเจ้าร้าง,พี่ร้างมานอน
แปดคํ่ายํ่ารุ่งแล้ว,คลามา,นพบุรีรมยา,ท่านยั้ง,แสนสนุกนิ์จะหา,หายาก,น้องก็ย่อมแจ้งครั้ง,ก่อนโพ้นมีมา
พิศโพธิ์สามต้นเติบ,ตายสอง,ยังแต่เดียวดูหมอง,หม่นเศร้า,อกเรียมก็ปูนปอง,ปานเปรียบ โพธิ์แม่,กลพี่จากเจ้าเคล้า,คู่คล้ายโพธิคะนึง
มาดลดำบลบ้านท้าย,โพแตง,แตงบ่แดงเลยแดง,อกชํ้า,ชํ้าใจทุราแลง,ลิ่วจาก,จากแม่ไปหนำซ้ำ,เร่งซ้ำทรวงถวิล
กาหลหรทึกแส้,เสียงสังข์,เรียมบ่ฟังเลยฟัง,ข่าวน้อง,ฆ้องคึกบันดาลหวัง,เสียงเสน่ห์,เสน่ห์มารุมรึงข้อง,ขุ่นข้องอารมณ์
มาถึงประเทศท้าย,เกาะเรียน,ใจตระขวิดตระเขวียนเวียน,วุ่นเข้า,เวรานุเวรเวียน,บำราศ แล้วแฮ,จักนิราทุกข์เท้า,ตราบสิ้นกรรมเรียม
เดินดัดลัดทุ่งบ้าน,สมอคอน,เรียมก็คอนทุกข์สมร,ใช่น้อย,วังราชบ่นอนนอน,เนินป่า,บ้านป่าฝาแฝกห้อย,ร่างไร้รุงรัง
เห็นวังวาริศร้าง,ริมแคว น้ำนา,พระนครหลวงแล,เปล่าเศร้า,วังราชฤมาแปร,เป็นป่า,เกรงจะแปรใจเจ้า,ห่างแล้วลืมเรียม
แคฝอยข่อยข่าคล้า,ยางคาง,วัลว่าขานางซาง,หน่อป้อ,ปริงปรูหูกวางปราง,ปรงเปราะ,ลางลิงจิงจ้อค้อ,ข่าคล้าตระคองคลอง
ระกำแกมจากต้น,เตยหนา,ต้นตระบูนเเกมตา,ตุ่มไห้,จากศรีอยุธยามา,ลิ่วโลด ใจแฮ,วังบ่เห็นเห็นไม้,ม่วงพร้าวแกมสลา
มะลิวัลย์วรแนบไว้,วางเขนย,ซับซาบวรเรียมเชย,ไป่ม้วย,ขจรกลิ่นรสรำเพย,ผายสวาดิ,เอฤนุชมาด้วย,แซ่งเว้เวียนหนี
ขอจงเสร็จแก้วพี่,กายกลม,ทันกลับคืนพลันสม,เสน่ห์ด้วย,ความสนุกนิจเล่นรมย์,หลายท่า,ขอจงปู่เจ้าฉ้วย,เสร็จแล้วเรียมถวาย
เจว็ดประดิษฐ์แกล้ง,เกลาเพรา,ฉัตรและธงเฉลาเปลา,ปลอดเสี้ยน,มาลาเลวงเสา,วคนธ์กลิ่น ขจรแฮ,หอมตระการรสเพี้ยน,ผิดไม้ไพรสณฑ์
ปู่เจ้าเขาท่าท้อง,ไพรสณฑ์,ปู่เจ้าถ้ำธารพน,เวศนี้,ปู่เจ้าฮ่วยหนองหน,ใดแห่ง นี้นา,มารับสังเวยชี้,ซึ่งชี้เชิญถวาย
เทพาพฤกษชาติเรื้อง,รำบาญ,อารักษ์รักษาสถาน,ที่นี้,อากาศเทวาวาน,เมตรภาพ เรียมนา,ภูมิเทวาชี้,ช่วยให้นางเห็น
ขอจงเสร็จกลับได้,ดวงสาย สวาทนา,เรียมจะพลันจงถวาย,เกือบกั้ง,พวงเงินพวงทองบาย,ศรีมาศ,ใส่ศาลเพียงตาตั้ง,แต่งให้สมบูรณ์
ข้าโรงข้าศาลนั้น,อย่าถวิล,กลแต่เอียงไหริน,เล่าล้อม,ฉีกกัดมัจฉมางษ์กิน,แกมจอก,จอบจิบหยิบแกล้มพร้อม,เพริศคิ้วพลางเผยอ
เหล้าเข้มไหใหญ่ตั้ง,เติมกลาง,หมูเป็ดปากทองวาง,เตียบตั้ง,แกะแพะชุมพามางษ์,แกมไก่,เต่างูหนูปลากั้ง,กบกุ้งปูหอย
เก้าบทเพื่อนยากนี้,ตกไฉน,ย่อมตกตามกันไป,ทั่วเท้า,ดงรังทะเลไกล,กลางป่า ก็ดี,เห็นก็สุดแต่เก้า,บทนี้แนมนอน
อัศจรรย์บารนี่หน้า,โหรา,กาฤทำรังกา,ที่แจ้ง,ฉัตรไชยใช่พฤกษา,กาไข่,เป็นนิมิตเทพแสร้ง,ส่งให้ศุภผล
